ServiceName,BV-Def-Home,BV-Def-Pro,BV-Safe-Desk,BV-Safe-Lap,BV-Tweaked-Desk
#ServiceVersion,5.0,Feb-25-2018,GeneratedByMadBomb122,0,0
AxInstSV,-2,-2,-2,-2,-2
AJRouter,2,2,2,2,1
AppReadiness,-2,-2,-2,-2,-2
AppHostSvc,-3,-3,-3,-3,-3
AppIDSvc,-2,-2,-2,-2,-2
Appinfo,-2,-2,-2,-2,-2
ALG,2,2,1,1,1
AppMgmt,0,2,2,2,1
aspnet_state,-2,-2,-2,-2,-2
AssignedAccessManagerSvc,0,-2,-2,-2,-2
tzautoupdate,-1,-1,-1,-1,-1
BthAvctpSvc,2,2,2,2,1
BITS,-4,-4,-4,-4,-4
BFE,-3,-3,-3,-3,-3
BDESVC,-2,-2,-2,-2,-2
wbengine,-2,-2,-2,-2,-2
BTAGService,2,2,2,2,1
BthHFSrv,2,2,2,2,1
bthserv,2,2,2,2,1
BluetoothUserService_?????,-2,-2,-2,-2,-2
PeerDistSvc,0,2,1,1,1
camsvc,-2,-2,-2,-2,-2
CaptureService_?????,0,2,2,2,1
CertPropSvc,2,2,2,2,1
c2wts,-2,-2,-2,-2,-2
KeyIso,-2,-2,-2,-2,-2
EventSystem,-3,-3,-3,-3,-3
COMSysApp,-2,-2,-2,-2,-2
Browser,-2,-2,-2,-2,-2
CDPSvc,-4,-4,-4,-4,-4
CDPUserSvc_?????,-3,-3,-3,-3,-3
DiagTrack,-3,-3,-3,-3,-3
VaultSvc,-2,-2,-2,-2,-2
CryptSvc,-3,-3,-3,-3,-3
DsSvc,-2,-2,-2,-2,-2
DusmSvc,-3,-3,-3,-3,-3
DoSvc,-4,-4,-4,-4,-4
DeviceAssociationService,-2,-2,-2,-2,-2
DeviceInstall,-2,-2,-2,-2,-2
DmEnrollmentSvc,-2,-2,-2,-2,-2
DsmSVC,-2,-2,-2,-2,-2
DevQueryBroker,-2,-2,-2,-2,-2
Dhcp,-3,-3,-3,-3,-3
diagsvc,-2,-2,-2,-2,-2
DPS,-3,-3,-3,-3,-3
WdiServiceHost,-2,-2,-2,-2,-2
WdiSystemHost,-2,-2,-2,-2,-2
TrkWks,-3,-3,-3,-3,-3
MSDTC,-2,-2,-2,-2,-2
dmwappushsvc,2,2,1,1,1
Dnscache,-3,-3,-3,-3,-3
MapsBroker,4,4,1,1,1
DsRoleSvc,-2,-2,-2,-2,-2
embeddedmode,-2,-2,-2,-2,-2
EFS,-2,-2,-2,-2,-2
EapHost,-2,-2,-2,-2,-2
Fax,2,2,1,1,1
fhsvc,-2,-2,-2,-2,-2
fdPHost,-2,-2,-2,-2,-2
FDResPub,-2,-2,-2,-2,-2
BcastDVRUserService_?????,-2,-2,-2,-2,-2
lfsvc,2,2,1,1,1
GraphicsPerfSvc,-2,-2,-2,-2,-2
HomeGroupListener,-2,-2,-2,-2,-2
HomeGroupProvider,-2,-2,-2,-2,-2
hns,-2,-2,-2,-2,-2
hidserv,-2,-2,-2,-2,-2
HvHost,2,2,1,1,1
vmickvpexchange,2,2,1,1,1
vmicguestinterface,2,2,1,1,1
vmicshutdown,2,2,1,1,1
vmicheartbeat,2,2,1,1,1
vmcompute,-2,-2,-2,-2,-2
vmicvmsession,2,2,1,1,1
vmicrdv,2,2,1,1,1
vmictimesync,2,2,1,1,1
vmms,0,3,0,0,0
vmicvss,2,2,1,1,1
IKEEXT,-2,-2,-2,-2,-2
irmon,2,2,1,1,1
UI0Detect,-2,-2,-2,-2,-2
SharedAccess,2,2,1,1,1
iphlpsvc,3,3,3,3,1
IpxlatCfgSvc,2,2,2,2,1
PolicyAgent,-2,-2,-2,-2,-2
KtmRm,-2,-2,-2,-2,-2
lltdsvc,-2,-2,-2,-2,-2
wlpasvc,-2,-2,-2,-2,-2
LPDSVC,3,3,0,0,0
LxssManager,2,2,0,0,0
MSMQ,3,3,0,0,0
MSMQTriggers,3,3,0,0,0
MessagingService_?????,-2,-2,-2,-2,-2
diagnosticshub.standardcollector.service,-2,-2,-2,-2,-2
wlidsvc,-2,-2,-2,-2,-2
AppVClient,0,-1,-1,-1,-1
ftpsvc,3,3,0,0,0
MSiSCSI,2,2,1,1,1
MsKeyboardFilter,0,0,0,0,0
swprv,-2,-2,-2,-2,-2
smphost,-2,-2,-2,-2,-2
InstallService,-2,-2,-2,-2,-2
SmsRouter,2,2,1,1,1
NaturalAuthentication,2,2,2,2,1
NetMsmqActivator,-3,-3,-3,-3,-3
NetPipeActivator,-3,-3,-3,-3,-3
NetTcpActivator,-3,-3,-3,-3,-3
NetTcpPortSharing,2,2,1,1,1
Netlogon,2,2,2,2,1
NcdAutoSetup,2,2,2,2,1
NcbService,-2,-2,-2,-2,-2
Netman,-2,-2,-2,-2,-2
NcaSVC,-2,-2,-2,-2,-2
netprofm,-2,-2,-2,-2,-2
NlaSvc,-3,-3,-3,-3,-3
NetSetupSvc,-2,-2,-2,-2,-2
nsi,-3,-3,-3,-3,-3
CscService,0,2,1,1,1
ssh-agent,-2,-2,-2,-2,-2
defragsvc,-2,-2,-2,-2,-2
WpcMonSvc,2,2,1,1,1
SEMgrSvc,2,2,1,1,1
PNRPsvc,-2,-2,-2,-2,-2
p2psvc,-2,-2,-2,-2,-2
p2pimsvc,-2,-2,-2,-2,-2
PerfHost,-2,-2,-2,-2,-2
pla,-2,-2,-2,-2,-2
PhoneSvc,2,2,1,1,1
PlugPlay,-2,-2,-2,-2,-2
PNRPAutoReg,-2,-2,-2,-2,-2
WPDBusEnum,-2,-2,-2,-2,-2
Power,-3,-3,-3,-3,-3
Spooler,-3,-3,-3,-3,-3
PrintNotify,-2,-2,-2,-2,-2
PrintWorkflowUserSvc_?????,-2,-2,-2,-2,-2
wercplsupport,-2,-2,-2,-2,-2
PcaSvc,-3,-3,-3,-3,-3
QWAVE,-2,-2,-2,-2,-2
RmSvc,-2,-2,-2,-2,-2
RasAuto,-2,-2,-2,-2,-2
RasMan,-2,-2,-2,-2,-2
SessionEnv,2,2,2,2,1
TermService,2,2,2,2,1
UmRdpService,2,2,2,2,1
RpcLocator,2,2,1,1,1
RemoteRegistry,-1,-1,-1,-1,-1
RetailDemo,2,2,1,1,1
RemoteAccess,-1,-1,-1,-1,-1
seclogon,-2,-2,-2,-2,-2
SstpSvc,-2,-2,-2,-2,-2
SamSs,-3,-3,-3,-3,-3
wscsvc,-4,-4,-4,-4,-4
SensorDataService,2,2,1,2,1
SensrSvc,2,2,1,2,1
SensorService,2,2,1,2,1
LanmanServer,-3,-3,-3,-3,-3
shpamsvc,-1,-1,-1,-1,-1
ShellHWDetection,-3,-3,-3,-3,-3
SCardSvr,-1,-1,-1,-1,-1
ScDeviceEnum,2,2,1,1,1
SCPolicySvc,2,2,1,1,1
SNMPTRAP,2,2,1,1,1
SharedRealitySvc,-2,-2,-2,-2,-2
svsvc,-2,-2,-2,-2,-2
SSDPSRV,-2,-2,-2,-2,-2
WiaRpc,-2,-2,-2,-2,-2
StorSvc,-2,-2,-2,-2,-2
TieringEngineService,-2,-2,-2,-2,-2
SysMain,-3,-3,-3,-3,-3
OneSyncSvc_?????,-4,-4,-4,-4,-4
SENS,-3,-3,-3,-3,-3
SgrmBroker,-4,-4,-4,-4,-4
lmhosts,-2,-2,-2,-2,-2
TapiSrv,-2,-2,-2,-2,-2
Themes,-3,-3,-3,-3,-3
TimeBroker,-2,-2,-2,-2,-2
TabletInputService,2,2,1,2,1
UsoSvc,-2,-2,-2,-2,-2
upnphost,-2,-2,-2,-2,-2
UevAgentService,0,-1,-1,-1,-1
UserManager,-3,-3,-3,-3,-3
ProfSvc,-3,-3,-3,-3,-3
vds,-2,-2,-2,-2,-2
VSS,-2,-2,-2,-2,-2
W3LOGSVC,-2,-2,-2,-2,-2
